question,answer
"Siapa yang buat kamu?","Aku di buat oleh Fabian Apriliano dan dibantu oleh Favian Rafi Pratama. Mereka adalah mahasiswa Universitas Gunadarma jurusan Informatika. Dibuat untuk menyelesaikan tugas mata kuliah Pengantar Sains Data yaitu dengan materi IMPLEMENTASI NATURAL LANGUAGE PROCESSING (NLP) PADA CHATBOT INFORMASI DI UNIVERSITAS GUNADARMA. dengan menggunakan model denaya/indoSBERT-large yang selanjutnya di training lalu menghasilkan model AI yang siap dipakai untuk mengetahui informasi tentang Universitas Gunadarma. Model ini juga tidak sepenuhnya akan berjalan sempurna karena masih dalam proses pengembangan dan keterbatasan device yang kita miliki."
"Siapa rektor Universitas Gunadarma?","Rektor Universitas Gunadarma saat ini adalah Prof. Dr. E.S. Margianti, SE, MM."
"Bagaimana cara mendaftar di Universitas Gunadarma?","Pendaftaran mahasiswa baru di Universitas Gunadarma bisa dilakukan secara online melalui situs pendaftaran.gunadarma.ac.id. Calon mahasiswa harus membuat akun, membayar biaya formulir, melengkapi data diri, dan memilih jalur seleksi. Pendaftaran juga bisa dilakukan langsung di counter pendaftaran kampus."
"Info pendaftaran Gunadarma dong.","Tentu, pendaftaran bisa online di pendaftaran.gunadarma.ac.id atau datang langsung ke kampus. Anda perlu buat akun, bayar formulir, isi data, dan pilih jalur tes."
"Gimana sih prosedur daftar UG?","Prosedurnya adalah membuat akun di situs pendaftaran, membayar biaya, mengisi formulir online secara lengkap, lalu memilih jalur masuk, antara tes atau PMDK."
"link pendaftaran gundar apa?","Link pendaftaran resmi untuk mahasiswa baru adalah pendaftaran.gunadarma.ac.id."
"Apa saja jalur pendaftaran yang tersedia?","Secara umum, terdapat dua jalur utama: Jalur Reguler melalui tes masuk online dan Jalur PMDK (Penelusuran Minat dan Kemampuan) yang menggunakan nilai rapor semester 4 dan 5."
"Ada berapa jalur masuk di Gunadarma?","Ada dua jalur utama, yaitu jalur tes reguler dan jalur non-tes atau PMDK yang seleksinya berdasarkan nilai rapor."
"Kapan jadwal pendaftaran mahasiswa baru dibuka?","Jadwal pendaftaran biasanya dibuka dalam beberapa gelombang sepanjang tahun. Untuk jadwal pastinya, sangat disarankan untuk memantau langsung situs resmi pendaftaran.gunadarma.ac.id karena jadwalnya dinamis."
"Berapa biaya kuliah di Gunadarma?","Biaya kuliah sangat bervariasi tergantung fakultas dan program studi. Komponennya terdiri dari USP (Uang Sumbangan Pendidikan) yang dibayar sekali, BPP (Biaya Penyelenggara Pendidikan) per semester, dan biaya per SKS."
"Info biaya kuliah dong","Biaya kuliah di Gunadarma ada tiga bagian: uang pangkal (USP), uang semesteran (BPP), dan biaya SKS. Totalnya beda-beda tiap jurusan, jadi harus dicek langsung di rincian biaya resmi."
"spp gundar brp?","Biaya SPP atau di Gunadarma disebut BPP (Biaya Penyelenggara Pendidikan) dibayar per semester. Besarannya berbeda untuk setiap jurusan. Selain BPP, ada juga USP dan biaya SKS."
"bayar kuliah gmn caranya?","Pembayaran biaya kuliah umumnya dilakukan melalui transfer bank ke nomor Virtual Account yang unik untuk setiap mahasiswa. Nomor VA bisa dilihat di Student Site saat periode pembayaran dibuka."
"Apa itu KRS dan bagaimana cara mengisinya?","KRS (Kartu Rencana Studi) adalah daftar mata kuliah yang akan diambil dalam satu semester. Pengisiannya dilakukan secara online melalui situs Student Site (studentsite.gunadarma.ac.id) pada jadwal yang telah ditentukan dalam kalender akademik."
"Gimana cara isi KRS?","Pengisian KRS dilakukan online lewat Student Site pada jadwal yang sudah ditentukan. Kamu tinggal login dan memilih mata kuliah yang tersedia untuk semestermu."
"info krs dong","KRS atau Kartu Rencana Studi diisi online lewat Student Site. Ini adalah proses untuk memilih mata kuliah yang akan kamu ambil di semester berikutnya. Pastikan mengisi sesuai jadwal ya."
"kalo telat isi krs gmn?","Jika terlambat mengisi KRS, mahasiswa berisiko tidak dapat mengikuti perkuliahan pada semester tersebut atau statusnya menjadi non-aktif. Segera hubungi sekretariat fakultas untuk menanyakan kemungkinan solusi."
"Bagaimana cara melihat nilai dan IPK?","Mahasiswa dapat melihat rangkuman nilai per semester (IPS) dan Indeks Prestasi Kumulatif (IPK) melalui Student Site. Setelah login, akses menu 'Rangkuman Nilai'."
"Di mana saya bisa lihat IPK saya?","Untuk mengecek IPK, kamu bisa login ke Student Site Gunadarma dan masuk ke bagian Rangkuman Nilai. Di sana tertera riwayat nilai dari semester awal hingga sekarang."
"cara cek nilai gmn?","Nilai bisa dicek di Student Site. Login saja, lalu cari menu Rangkuman Nilai untuk melihat IPS dan IPK."
"Apa saja syarat untuk mendaftar sidang skripsi?","Syarat umum mendaftar sidang skripsi adalah telah mendapat surat ACC dari dosen pembimbing, mengurus surat bebas keuangan dan perpustakaan, memenuhi SKS minimum (biasanya 144 SKS), serta melampirkan sertifikat Penulisan Ilmiah (PI) dan kursus."
"Kalau mau ambil skripsi syaratnya apa ya?","Syarat utamanya adalah dapat ACC dari pembimbing, bebas urusan administrasi keuangan dan perpus, SKS sudah cukup, dan sudah lulus PI serta kursus wajib lainnya."
"setelah acc pembimbing ngapain?","Setelah mendapat ACC skripsi dari pembimbing, langkah selanjutnya adalah mengurus berkas-berkas administrasi untuk pendaftaran sidang, seperti surat bebas keuangan, bebas perpustakaan, dan melengkapi semua sertifikat yang disyaratkan."
"Apa itu Penulisan Ilmiah (PI)?","Penulisan Ilmiah (PI) adalah karya tulis yang wajib diselesaikan oleh mahasiswa S1 sebelum mengambil Skripsi. PI merupakan syarat kelulusan dan pendaftarannya dilakukan melalui Student Site."
"bedanya PI sama skripsi apa?","PI (Penulisan Ilmiah) adalah karya tulis dengan lingkup lebih kecil yang menjadi prasyarat untuk mengambil skripsi. Skripsi adalah tugas akhir dengan penelitian yang lebih mendalam untuk meraih gelar sarjana."
"syarat daftar PI apa?","Syarat mendaftar PI biasanya adalah telah lulus sejumlah SKS tertentu (misalnya 110 SKS) dan telah lulus semua mata kuliah prasyarat yang ditentukan oleh masing-masing jurusan."
"Apa itu V-Class Gunadarma?","V-Class adalah platform e-learning atau sistem pembelajaran online Universitas Gunadarma. Di sana dosen bisa memberikan materi kuliah, tugas, dan kuis secara daring untuk mendukung perkuliahan."
"Vclass buat apa?","V-Class itu platform e-learning resmi Gunadarma. Fungsinya untuk dosen memberikan materi, tugas, dan kuis secara online."
"Di mana saja lokasi kampus Gunadarma?","Universitas Gunadarma memiliki banyak kampus yang tersebar, antara lain Kampus A di Kenari, Kampus D dan E di Depok, Kampus J di Kalimalang, Kampus H di Kelapa Dua, serta kampus lainnya di Cengkareng dan Karawaci."
"Lokasi kampus Gunadarma ada di mana aja?","Kampus Gunadarma tersebar di banyak lokasi, yang utama ada di Depok (Kampus D & E), Kalimalang (Kampus J), Kenari (Kampus A), dan Kelapa Dua (Kampus H)."
"Fakultas Psikologi di kampus mana?","Fakultas Psikologi Universitas Gunadarma berlokasi di Kampus E yang berada di Kelapa Dua, Depok."
"Kampus D Depok ada fakultas apa aja?","Kampus D di Depok adalah kampus utama yang menaungi banyak fakultas, termasuk Fakultas Ilmu Komputer dan Teknologi Informasi (FIKTI) serta Fakultas Teknologi Industri (FTI)."
"Password studentsite saya lupa, gimana ya?","Tenang, di halaman login Student Site ada pilihan 'Lupa Password'. Kamu bisa klik itu dan ikuti instruksi yang akan dikirim ke email mahasiswa kamu yang terdaftar."
"Bagaimana jika lupa password Student Site?","Jika lupa password, mahasiswa dapat menggunakan fitur 'Lupa Password' yang tersedia di halaman login Student Site (studentsite.gunadarma.ac.id). Informasi untuk reset password akan dikirimkan ke email mahasiswa yang terdaftar."
"Apa akreditasi Universitas Gunadarma?","Universitas Gunadarma telah secara resmi mendapatkan akreditasi institusi dengan peringkat 'Unggul' dari Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT). Peringkat Unggul ini adalah level akreditasi tertinggi di Indonesia saat ini."
"Akreditasi Gunadarma apa ya?","Akreditasi institusi Universitas Gunadarma saat ini adalah 'Unggul' dari BAN-PT. Sebagian besar program studinya juga sudah terakreditasi Unggul atau A."
"gundar akreditasinya apa?","Akreditasinya sudah Unggul dari BAN-PT, ini yang paling tinggi."
"Apakah Gunadarma menyediakan program kelas karyawan?","Ya, Universitas Gunadarma menyediakan program kelas karyawan untuk beberapa jurusan, terutama di Fakultas Ilmu Komputer dan Teknologi Informasi serta Fakultas Ekonomi. Jadwal kuliahnya fleksibel, biasanya dilaksanakan pada malam hari atau akhir pekan."
"Ada kelas karyawan ga di gundar?","Ada, Gunadarma buka program kelas karyawan untuk beberapa jurusan. Jadwal kuliahnya lebih fleksibel, cocok untuk yang sudah bekerja."
"Bagaimana cara mengurus cuti akademik?","Untuk mengajukan cuti, mahasiswa harus mengisi formulir permohonan cuti yang didapat dari BAAK, melampirkan surat persetujuan, dan membayar biaya administrasi cuti. Cuti dapat diajukan maksimal selama 2 semester berturut-turut."
"mau cuti kuliah gimana caranya?","Kamu harus ke BAAK untuk minta formulir cuti, isi, dan bayar biayanya. Prosesnya harus disetujui oleh pihak fakultas juga."
"Apa itu BAPSI?","BAPSI adalah singkatan dari Biro Administrasi Perencanaan dan Sistem Informasi. BAPSI bertanggung jawab atas pengelolaan data akademik, sistem informasi, dan infrastruktur IT di Universitas Gunadarma, termasuk mengelola Student Site."
"Fasilitas olahraga di Gunadarma apa saja?","Gunadarma memiliki beberapa fasilitas olahraga, yang paling utama adalah Sport Center di Kampus H, Kelapa Dua, yang memiliki lapangan basket, voli, dan futsal. Beberapa kampus lain juga memiliki lapangan olahraga outdoor."
"Cara legalisir ijazah di Gunadarma gimana?","Proses legalisir ijazah biasanya dilakukan di BAAK (Biro Administrasi Akademik dan Kemahasiswaan). Anda perlu membawa fotokopi ijazah dan transkrip nilai, serta ijazah asli untuk verifikasi. Ada biaya administrasi yang harus dibayarkan dan prosesnya memakan waktu beberapa hari kerja."
"Prosedur legalisir ijazah?","Untuk legalisir, bawa fotokopi dan ijazah asli ke BAAK. Nanti ada biaya administrasi dan prosesnya beberapa hari. Pastikan datang di jam kerja."
"Apakah ada beasiswa di Gunadarma?","Ya, Gunadarma menyediakan beberapa jenis beasiswa, baik dari internal universitas maupun dari pihak eksternal seperti PPA, BBM. Informasi mengenai jenis beasiswa yang tersedia, syarat, dan jadwal pendaftaran biasanya diumumkan di situs resmi atau papan pengumuman fakultas."
"Info beasiswa gundar","Ada beberapa beasiswa yang tersedia. Info lengkapnya, termasuk syarat dan jadwal, biasanya diumumkan di web resmi Gunadarma atau di fakultas. Mahasiswa berprestasi atau yang kurang mampu bisa mencoba mendaftar."
"Jurusan apa saja yang ada di Fakultas Ilmu Komputer?","Fakultas Ilmu Komputer dan Teknologi Informasi (FIKTI) memiliki beberapa program studi unggulan, antara lain S1 Teknik Informatika, S1 Sistem Informasi, dan S1 Sistem Komputer."
"Sebutkan prodi di FIKTI","Di FIKTI ada jurusan S1 Teknik Informatika, S1 Sistem Informasi, dan S1 Sistem Komputer."
"Bagaimana cara menghubungi pihak Universitas?","Anda bisa menghubungi Universitas Gunadarma melalui nomor telepon resmi yang tertera di situs web gunadarma.ac.id atau mendatangi langsung bagian informasi di kampus-kampus utama seperti Kampus D di Depok."
"Kontak UG yang bisa dihubungi?","Nomor telepon resmi ada di website gunadarma.ac.id. Atau untuk respons lebih cepat, disarankan datang langsung ke bagian informasi di kampus terdekat."
"Apa syarat yudisium?","Syarat yudisium umumnya adalah telah dinyatakan lulus sidang skripsi, telah menyelesaikan semua mata kuliah (total SKS terpenuhi), tidak memiliki tunggakan biaya administrasi, dan telah melengkapi semua berkas yang diminta oleh fakultas, seperti sertifikat dan surat bebas perpustakaan."
"syarat buat yudisium apa aja?","Yang pasti harus sudah lulus sidang skripsi, SKS lengkap, tidak ada utang bayaran, dan semua berkas administrasi seperti sertifikat dan surat bebas perpus sudah beres diurus di fakultas."
"Bagaimana jika jadwal kuliah bentrok?","Jika terjadi jadwal kuliah yang bentrok, mahasiswa disarankan untuk segera melapor ke sekretariat jurusan atau fakultas. Biasanya akan dicarikan solusi seperti pindah kelas lain yang tersedia atau kebijakan lain dari pihak jurusan."
"jadwal saya bentrok, gimana nih?","Segera lapor ke sekretariat jurusan. Nanti mereka bantu carikan solusi, biasanya bisa pindah kelas ke jadwal lain kalau masih ada slot."
"info wisuda dong","Pendaftaran wisuda dilakukan secara online melalui Student Site setelah mahasiswa dinyatakan lulus yudisium. Mahasiswa perlu melunasi biaya wisuda, mengunggah pas foto sesuai ketentuan, dan memverifikasi data ijazah. Jadwal dan info detail diumumkan oleh BAAK."
"setelah yudisium ngapain lagi?","Setelah yudisium, langkah selanjutnya adalah mendaftar untuk wisuda. Pendaftaran dilakukan online via Student Site. Anda juga akan diminta untuk verifikasi data untuk ijazah dan melunasi biaya wisuda."
"Apa itu UKM?","UKM adalah singkatan dari Unit Kegiatan Mahasiswa. Ini adalah wadah atau organisasi bagi mahasiswa untuk mengembangkan minat dan bakat di luar bidang akademik, seperti olahraga, seni, penalaran, dan kerohanian."
"cara ikut ukm gimana?","Biasanya setiap UKM membuka pendaftaran anggota baru di awal tahun ajaran. Kamu bisa mencari informasi di acara PKKMB (orientasi mahasiswa baru) atau langsung mendatangi sekretariat UKM yang kamu minati."
"Apa saja perpustakaan yang ada di Gunadarma?","Universitas Gunadarma memiliki perpustakaan di beberapa lokasi kampus utamanya, seperti di Kampus D dan Kampus E Depok, serta Kampus J Kalimalang. Perpustakaan menyediakan koleksi buku, jurnal, dan referensi skripsi."
"jam buka perpus gundar?","Jam operasional perpustakaan bisa berbeda di setiap lokasi, namun umumnya buka pada hari dan jam kerja, yaitu Senin sampai Jumat dari pagi hingga sore hari. Disarankan untuk mengecek jadwal pastinya di lokasi perpus langsung."
"Bagaimana cara mendapatkan KTM (Kartu Tanda Mahasiswa)?","KTM biasanya akan dibagikan kepada mahasiswa baru setelah menyelesaikan proses daftar ulang dan PKKMB. Pengambilan KTM akan diumumkan jadwalnya oleh pihak BAAK atau kemahasiswaan."
"ktm saya hilang, gimana cara urusnya?","Jika KTM hilang, Anda harus segera melapor ke BAAK dengan membawa surat keterangan hilang dari kepolisian. Nanti akan ada prosedur dan biaya administrasi untuk pembuatan kartu baru."
"Apa itu Student Site?","Student Site (studentsite.gunadarma.ac.id) adalah portal akademik online untuk mahasiswa Gunadarma. Di sana mahasiswa bisa mengisi KRS, melihat nilai, mengecek jadwal kuliah, melihat informasi pembayaran, dan mengakses berbagai layanan akademik lainnya."
"studentsite buat apa aja?","Student Site itu pusat layanan akademik online. Fungsinya banyak, mulai dari isi KRS, lihat IPK, cek jadwal, lihat tagihan bayaran, sampai daftar PI dan skripsi."
"email mahasiswa gunadarma apa?","Setiap mahasiswa Gunadarma mendapatkan email resmi dengan domain @student.gunadarma.ac.id. Akun ini dapat digunakan untuk mengakses berbagai layanan akademik dan informasi resmi dari universitas."
"cara akses email student?","Informasi login dan cara mengakses email mahasiswa biasanya bisa dilihat di dalam Student Site setelah Anda login. Biasanya terintegrasi dengan layanan email Google (Gmail)."
"dimana lab praktikum fisika","Lab praktikum fisika dasar umumnya berlokasi di Kampus H Universitas Gunadarma di Kelapa Dua, Depok."
"Apa itu Lepkom?","Lepkom adalah singkatan dari Lembaga Pengembangan Komputerisasi. Ini adalah lembaga di Gunadarma yang menyelenggarakan kursus-kursus praktikum komputer untuk mahasiswa. Sertifikat dari Lepkom seringkali menjadi syarat wajib untuk PI atau Skripsi."
"Lepkom buat apaan sih?","Lepkom itu tempat kursus komputer resmi di Gunadarma. Kamu akan dapat materi praktikum di luar kelas, seperti programming atau database. Sertifikatnya penting banget karena biasanya jadi syarat buat ambil PI atau skripsi."
"info tentang leppkom","Lepkom (Lembaga Pengembangan Komputerisasi) menyediakan berbagai kursus keahlian komputer. Pendaftaran dilakukan secara online sesuai jadwal, dan sertifikat kelulusannya merupakan salah satu syarat akademik yang penting."
"Apakah Lepkom wajib diikuti?","Untuk sebagian besar jurusan, terutama yang berada di bawah FIKTI dan FTI, kursus dan sertifikasi dari Lepkom bersifat wajib dan menjadi prasyarat untuk mengambil Penulisan Ilmiah (PI) atau tugas akhir (Skripsi)."
"lekom wajib ga?","Iya, biasanya wajib. Terutama buat anak-anak dari fakultas teknik dan komputer, sertifikat Lepkom itu salah satu syarat utama buat bisa lanjut ke PI dan skripsi."
"Bagaimana cara mendaftar kursus Lepkom?","Pendaftaran kursus Lepkom dilakukan secara online melalui Student Site atau situs khusus pendaftaran Lepkom pada periode yang telah diumumkan. Mahasiswa perlu memilih jadwal kursus yang tersedia."
"daftar lepkkom gmn?","Daftarnya online lewat Student Site pas jadwal pendaftarannya dibuka. Nanti kamu tinggal pilih mau ikut kursus yang mana dan jadwalnya kapan."
